Gender,University,Age,Type_of_Residence,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Job,Father_Job,Primary_Guardian,Motivation_Level,University_Selection_Method,University_Choice_Reason,Program_Choice_Personal,Program_Satisfaction_Level,Living_Arrangement,Travel_Time_,Study_Hours_Per_Week,Failed_Classes,Num_Failed_Classes,Extra_Support_University,Changed_Major,Reason_Changed_Major,Considered_Dropout,Reason_Considered_Dropout,Adjustment_Issues,Adjustment_Difficulty,Stress_Frequency,Made_Friends,Hangout_Frequency,Social_Activity_Frequency,Extracurricular_Participation,Free_Time,Classmate_Cooperation,Mentor_Support,Internet_At_Home,In_Relationship,Relationship_Satisfaction,Family_Relationships,Overall_Health,Bullying_Frequency,PartTime_Job,Absences_Semester,Average_CGPA,CGPA_Satisfaction
M,DIU,25,U,GT3,A,3,4,Housewife ,Service holder ,Father,1,Referred by someone,,Yes,1,In university halls,10,1,Yes,2,No,Yes,Lack of interest in the original major,No,,Difficulty making friends,5,Often,Yes,2,Never,No,3,2,2,Yes,No,,4,3,Rarely,No,20,2.6,1
M,DIU,24,U,GT3,A,2,4,Housewife,Govt Job,Father,2,Referred by someone,Reputation,Yes,3,In university halls,20,3,No,0,Yes,No,Better career opportunities in the new major,No,Difficulty adjusting to university life,Difficulty understanding academic content,2,Sometimes,Yes,3,Sometimes,Yes,3,3,3,Yes,Yes,3,4,3,Never,No,22,3.26,3
F,DIU,23,U,GT3,A,4,4,Housewife ,Teacher ,Father,1,Referred by someone,Reputation,No,4,With family,130,1,No,,Yes,No,,No,,No major issues,5,Often,Yes,4,Never,No,1,5,2,Yes,Yes,2,5,3,Rarely,No,,3.7,4
M,DIU,22,U,GT3,T,4,4,Housewife ,Teacher,Father,3,Own choice,Course,Yes,3,Private accommodation,,4,No,,Yes,No,,No,,No major issues,2,Often,Yes,4,Often,Yes,3,4,4,Yes,Yes,5,5,4,Rarely,No,1,3.5,4
M,DIU,23,R,GT3,A,4,4,Teacher,Advocate,Father,3,Own choice,Course,Yes,3,In university halls,20,3,No,0,No,No,Difficulty in previous courses,No,Personal reasons,No major issues,4,Never,Yes,3,Very Often,Yes,3,3,3,Yes,Yes,5,4,5,Always,No,1,3,1
M,DIU,25,U,LE3,A,0,0,Housewife,Farmer ,Mother,1,Own choice,Reputation,No,1,In university halls,20,1,No,0,No,No,Difficulty in previous courses,No,Academic difficulties,Homesickness,5,Always,No,3,Never,No,5,3,3,No,No,1,5,1,Never,No,0,2.98,1
F,DIU,23,R,GT3,A,3,4,Business women ,Teacher ,Both,4,Referred by someone,Near Home,Yes,4,In university halls,10,3,No,0,Yes,No,Nothing ,No,Academic difficulties,Difficulty making friends,3,Sometimes,No,2,Never,No,3,2,2,Yes,Yes,5,5,1,Sometimes,No,0,3.65,3
F,DIU,24,U,GT3,A,4,4,Housewife ,Businessman ,Father,1,Own choice,Course,Yes,2,In university halls,10,1,No,,Yes,No,,No,,Difficulty understanding academic content,2,Sometimes,Yes,2,Sometimes,Yes,1,3,3,Yes,No,,5,2,Rarely,No,5,3.33,1
F,DIU,19,R,GT3,A,1,1,Housewife ,,Father,2,Own choice,Course,Yes,1,In university halls,,3,No,,Yes,No,Difficulty in previous courses,No,Financial problems,No major issues,1,Never,Yes,1,Sometimes,Yes,1,1,1,Yes,No,,2,1,Never,Yes,,,1
M,DIU,20,U,GT3,A,4,4,Housewife ,Govt Job,Father,3,Referred by someone,Reputation,Yes,3,With family,,2,No,,Yes,No,,No,,Difficulty understanding academic content,3,Often,No,2,Rarely,No,3,2,3,Yes,No,,4,3,Rarely,No,,,
F,DIU,22,U,LE3,A,3,4,Housewife ,Businessman ,Father,4,Referred by someone,Campus ,Yes,3,In university halls,10,3,No,0,No,No,Difficulty in previous courses,Yes,Academic difficulties,Difficulty understanding academic content,5,Sometimes,Yes,3,Sometimes,Yes,2,2,4,Yes,Yes,5,5,3,Never,No,15,3.17,3
M,DIU,24,R,GT3,A,4,4,Housewife,Engineer,Father,2,Own choice,Reputation,Yes,1,In university halls,10,2,No,0,Yes,No,Not changed,No,Never,No major issues,2,Often,Yes,4,Sometimes,Yes,3,4,2,Yes,No,1,5,5,Never,No,0,3.7,4
F,DIU,21,R,GT3,A,4,4,Health assistant ,Teacher ,Mother,1,Referred by someone,Near Home,No,1,In university halls,30,3,No,0,Yes,No,,No,No,No major issues,1,Sometimes,Yes,5,Sometimes,Yes,5,1,3,Yes,No,1,5,3,Never,No,0,No,3
F,DIU,23,U,GT3,A,3,4,Housewife ,Businessman,Father,3,Own choice,Course,Yes,5,With family,150,3,No,0,Yes,No,Personal or family reasons,No,Personal reasons,No major issues,3,Often,Yes,2,Rarely,Yes,2,2,3,Yes,No,1,5,5,Never,No,2,3.5,3
M,DIU,24,R,GT3,A,1,2,Housewife,Shopkeeper,Father,3,Own choice,Near Home,Yes,4,With family,120,1,No,0,Yes,No,Difficulty in previous courses,No,No,No major issues,3,Sometimes,Yes,4,Rarely,No,3,3,3,Yes,Yes,4,5,3,Never,Yes,0,3.35,4
F,DIU,23,R,GT3,A,3,4,Housewife ,Banker,Father,2,Own choice,Near Home,Yes,2,With family,60,1,No,0,Yes,No,Nothing ,No,Nothing ,No major issues,1,Often,Yes,1,Never,No,3,1,1,Yes,Yes,5,4,1,Never,No,20,3.18,1
M,DIU,22,U,GT3,T,2,4,Housewife ,Businessman ,Father,2,Own choice,Course,Yes,1,With family,90,1,No,0,No,No,No,No,Personal reasons,Difficulty understanding academic content,4,Never,Yes,1,Often,Yes,2,1,1,Yes,No,1,3,3,Never,No,4,2.75,2
F,DIU,22,U,GT3,A,4,4,Housewife ,Businessman ,Father,5,Own choice,Near Home,Yes,3,In university halls,20,1,Yes,3,No,Yes,Difficulty in previous courses,No,Lack of interest in the program,Difficulty understanding academic content,3,Sometimes,Yes,5,Often,Yes,5,5,3,Yes,No,3,5,3,Sometimes,No,0,2.98,3
M,DIU,23,R,LE3,A,3,4,Teacher,Govt Job,Father,4,Referred by someone,Course,Yes,4,Private accommodation,10,1,Yes,3,Yes,No,no,Yes,Poor teaching or learning environment,Difficulty making friends,4,Often,Yes,5,Rarely,No,4,2,1,Yes,Yes,4,4,3,Rarely,Yes,5,3.3,2
F,DIU,23,U,GT3,A,4,4,Housewife,Account Manager ,Father,3,Own choice,Course,Yes,4,With family,120,3,No,0,Yes,No,Personal or family reasons,No,Health issues,No major issues,3,Sometimes,Yes,2,Rarely,Yes,1,1,3,Yes,No,1,5,2,Never,Yes,10,3.6,1
F,DIU,22,U,LE3,A,3,4,Housewife ,Businessman ,Father,1,Own choice,Campus and hall facility ,Yes,1,Private accommodation,150,3,No,0,Yes,No,Personal or family reasons,No,Health issues,Difficulty understanding academic content,3,Sometimes,No,3,Sometimes,No,3,3,3,Yes,Yes,1,3,3,Never,No,2,3,1
F,DIU,23,U,GT3,A,3,3,Housewife ,Businessman,Father,2,Own choice,Reputation,Yes,3,In university halls,10,1,No,0,Yes,No,No,No,No,Difficulty understanding academic content,3,Always,Yes,3,Sometimes,Yes,3,4,3,Yes,Yes,4,5,2,Never,No,3,3.2,1
M,DIU,24,U,GT3,A,3,4,Housewife ,Service holder,Father,3,Own choice,Near Home,Yes,4,With family,150,1,No,0,Yes,No,Sometimes lacking interest in the original major ,No,Never considered to drop ,Difficulty understanding academic content,2,Sometimes,Yes,3,Rarely,No,2,3,1,Yes,No,3,3,4,Never,No,1,3.49,2
M,DIU,24,U,GT3,T,4,4,Housewife ,Govt Job,Father,3,Referred by someone,Near Home,No,4,With family,150,2,No,0,Yes,No,Better career opportunities in the new major,No,Health issues,Difficulty making friends,3,Often,Yes,2,Never,No,1,2,3,Yes,No,1,3,2,Rarely,No,0,3.93,4
M,DIU,25,R,GT3,A,3,4,Housewife ,Businessman ,Mother,3,Own choice,Near Home,Yes,2,In university halls,60,1,No,0,Yes,No,Never,No,No,Difficulty making friends,3,Sometimes,Yes,2,Sometimes,Yes,3,3,1,Yes,Yes,2,5,5,Never,No,10,3.3,3
M,DIU,25,R,GT3,A,4,4,Housewife,Service holder,Father,4,Own choice,Reputation,Yes,2,With family,120,2,No,0,Yes,No,No,No,No,Difficulty understanding academic content,3,Often,Yes,4,Rarely,No,4,5,5,Yes,Yes,5,5,4,Never,No,2,3.5,3
F,DIU,21,R,GT3,A,4,4,Teacher,Teacher ,Mother,5,Own choice,Reputation,Yes,4,In university halls,20,4,No,0,Yes,No,Difficulty in previous courses,No,Personal reasons,No major issues,1,Sometimes,Yes,3,Often,Yes,2,5,5,Yes,No,1,5,4,Never,No,9,3.83,3
M,DIU,24,U,GT3,A,4,4,Housewife ,Teacher,Father,2,Own choice,Reputation,Yes,4,In university halls,20,3,No,0,No,No,No,No,Health issues,No major issues,3,Never,Yes,3,Rarely,No,3,4,2,Yes,No,1,5,5,Never,No,4,3.4,3
F,DIU,24,U,GT3,A,3,4,Housewife ,Businessman,Father,4,Referred by someone,Near Home,Yes,4,In university halls,20,1,Yes,1,No,No,Personal or family reasons,No,Personal reasons,No major issues,5,Sometimes,No,1,Never,No,5,3,5,Yes,No,3,5,4,Never,No,0,3.5,2
M,DIU,23,R,GT3,A,4,4,Housewife ,Businessman,Father,5,Own choice,Near Home,No,2,With family,120,3,No,0,No,No,N/A,Yes,Lack of interest in the program,No major issues,3,Sometimes,Yes,4,Very Often,Yes,3,2,5,Yes,No,1,5,3,Rarely,No,7,3.24,1
F,DIU,22,U,GT3,A,3,4,Housewife ,Retired ,Mother,3,Own choice,Reputation,Yes,3,With family,120,2,No,,Yes,No,,No,Poor teaching or learning environment,Difficulty understanding academic content,3,Sometimes,Yes,5,Very Often,No,2,4,2,Yes,No,,4,1,Rarely,Yes,1,3.6,1
F,DIU,22,R,LE3,A,4,4,Housewife ,Service holder,Father,2,Own choice,Course,Yes,5,In university halls,20,3,No,0,No,No,Better career opportunities in the new major,No,Health issues,Difficulty understanding academic content,3,Sometimes,No,5,Often,Yes,4,4,5,No,No,4,4,3,Sometimes,No,21,3,2
F,DIU,24,R,LE3,A,2,3,Housewife,Govt Job,Father,5,Own choice,Course,Yes,3,In university halls,10,2,No,1,Yes,Yes,Personal or family reasons,No,Poor teaching or learning environment,Homesickness,5,Often,No,4,Often,Yes,1,3,5,No,No,1,5,2,Sometimes,Yes,0,3.25,5
M,DIU,24,U,GT3,T,4,4,Doctor ,Service holder,Mother,3,Referred by someone,Course,Yes,4,With family,120,2,No,0,Yes,No,,No,,No major issues,1,Sometimes,Yes,3,Never,No,1,3,4,Yes,No,,4,4,Never,No,2,3.29,3
F,DIU,23,U,GT3,A,4,4,Teacher ,Teacher ,Father,3,Own choice,Near Home,No,1,With family,120,2,No,,Yes,No,,No,,No major issues,2,Always,Yes,2,Never,No,1,3,1,Yes,No,,4,4,Never,Yes,3,3.7,4
M,DIU,21,U,GT3,T,4,4,Housewife ,Teacher ,Father,5,Own choice,Near Home,Yes,5,In university halls,10,4,No,0,No,Yes,Personal or family reasons,No,Health issues,No major issues,5,Sometimes,Yes,5,Sometimes,No,5,5,5,No,No,5,5,5,Sometimes,No,0,2.8,4
M,DIU,24,U,GT3,A,4,4,Teacher ,Teacher ,Father,2,Referred by someone,Waiver ,No,1,With family,120,1,No,,Yes,No,,No,,No major issues,3,Always,Yes,2,Never,No,1,3,1,Yes,No,,2,3,Never,Yes,4,3.7,3
F,DIU,21,R,GT3,A,1,1,Housewife ,Farmer,Father,5,Own choice,Course,Yes,4,In university halls,20,2,No,,No,No,,No,,Homesickness,1,Never,Yes,5,Sometimes,No,5,5,1,No,Yes,5,5,3,Never,No,5,3.25,3
F,DIU,21,U,LE3,A,4,4,Housewife,Migrate worker,Father,1,Own choice,Waiver ,Yes,2,With family,40,1,No,,Yes,No,,No,,Difficulty understanding academic content,5,Always,Yes,1,Never,No,2,1,2,Yes,No,,3,1,Sometimes,No,2,3.65,1
F,DIU,22,U,LE3,A,4,4,Housewife,Teacher,Father,4,Own choice,Reputation,Yes,4,In university halls,20,2,No,0,Yes,No,,No,,Homesickness,2,Rarely,Yes,2,Rarely,Yes,2,2,1,Yes,Yes,4,5,3,Rarely,No,3,3.96,4
F,DIU,21,U,GT3,A,4,4,Housewife ,Engineer,Father,3,Own choice,Course,Yes,4,With family,20,2,No,,Yes,No,,No,,No major issues,3,Sometimes,Yes,2,Never,No,2,3,3,Yes,No,,5,3,Never,No,0,3.81,1
F,DIU,24,U,GT3,A,4,4,Teacher ,Engineer ,Father,3,Referred by someone,Reputation,Yes,2,In university halls,20,3,No,,Yes,No,,No,,Difficulty making friends,5,Often,No,1,Never,No,1,3,4,Yes,No,,4,1,Never,Yes,3,3.5,3
F,DIU,21,U,GT3,A,4,4,Govt job ,Govt job,Mother,5,Own choice,Reputation,Yes,5,With family,40,2,Yes,1,Yes,No,Better career opportunities in the new major,No,Financial problems,No major issues,5,Always,Yes,5,Never,No,5,5,5,Yes,Yes,5,5,1,Never,No,3,3.3,1
F,DIU,21,U,GT3,A,1,2,Housewife,Service holder,Father,1,Referred by someone,Reputation,Yes,3,With family,60,1,No,,No,No,,No,,Difficulty understanding academic content,3,Rarely,Yes,2,Never,No,1,3,3,Yes,No,,4,3,Never,No,2,3.38,2
F,DIU,22,U,GT3,A,4,4,Housewife ,Govt job,Father,2,Own choice,Reputation,Yes,3,With family,60,2,No,,Yes,No,,No,,No major issues,4,Rarely,Yes,3,Never,No,2,3,4,Yes,Yes,5,5,4,Never,No,1,3.27,2
F,DIU,21,U,GT3,A,4,4,Housewife,Teacher ,Father,4,Referred by someone,Course,Yes,3,With family,60,4,No,0,Yes,No,,Yes,Poor teaching or learning environment,Difficulty understanding academic content,3,Sometimes,Yes,3,Rarely,Yes,2,3,3,Yes,No,,4,3,Sometimes,No,3,,3
F,DIU,23,R,GT3,A,3,3,Housewife ,Service holder ,Father,1,Own choice,Reputation,No,1,In university halls,120,2,No,,No,No,,No,,Difficulty making friends,5,Always,No,2,Never,No,1,2,1,Yes,No,,4,3,Sometimes,No,12,3.34,1
F,DIU,24,U,GT3,A,4,4,Housewife ,Service holder ,My uncle,3,Referred by someone,Reputation,Yes,2,In university halls,10,1,No,,No,No,,Yes,Financial problems,Difficulty understanding academic content,4,Always,Yes,2,Rarely,No,2,2,2,Yes,No,,3,2,Never,Yes,5,3.62,1
F,DIU,26,U,GT3,A,3,3,Housewife ,Service holder,Father,3,Own choice,Near Home,Yes,2,With family,60,2,Yes,3,Yes,No,,Yes,Family responsibilities,Difficulty understanding academic content,4,Sometimes,Yes,4,Sometimes,No,3,3,3,Yes,Yes,3,3,3,Rarely,No,8,2.8,1
F,DIU,22,U,GT3,A,4,4,Housewife,Service holder,Father,3,Own choice,Reputation,Yes,3,With family,40,1,Yes,1,Yes,No,,No,,No major issues,4,Often,Yes,2,Sometimes,No,2,2,2,Yes,No,,3,2,Rarely,Yes,7,3.38,2
F,DIU,22,R,GT3,A,3,3,Housewife ,Businessman,Father,5,Referred by someone,Reputation,Yes,4,With family,60,2,No,,Yes,No,,No,,No major issues,2,Often,Yes,4,Never,No,3,4,5,Yes,Yes,5,5,3,Never,No,0,3.62,2
F,DIU,23,U,GT3,A,3,3,Housewife ,Businessman ,Father,3,Own choice,Near Home,Yes,2,With family,120,3,No,0,Yes,No,,No,,No major issues,3,Always,No,3,Rarely,No,3,4,3,Yes,No,,5,2,Never,No,0,3.84,4
M,SMUCT,24,R,GT3,A,3,3,Housewife,Businessman,Mother,3,Own choice,Near Home,Yes,1,With family,50,3,No,0,Yes,Yes,Better career opportunities in the new major,Yes,Poor teaching or learning environment,Difficulty making friends,5,Sometimes,Yes,3,Rarely,Yes,3,3,4,Yes,Yes,5,5,2,Never,No,2,3.67,2
M,SMUCT,23,U,GT3,A,3,2,Housewife ,Service holder ,Father,3,Referred by someone,Near Home,Yes,3,With family,120,1,No,0,Yes,No,,Yes,Financial problems,Homesickness,3,Sometimes,Yes,3,Sometimes,Yes,1,3,3,Yes,Yes,3,5,3,Sometimes,Yes,3,3,4
F,IUBAT,23,R,LE3,A,3,3,Teacher ,Businessman,Father,4,Own choice,Reputation,Yes,4,Private accommodation,120,3,No,,No,No,Lack of interest in the original major,No,Family responsibilities,No major issues,2,Never,Yes,4,Sometimes,Yes,5,4,4,Yes,No,,5,5,Never,No,2,3.48,2
F,DIU,24,R,GT3,T,3,4,Housewife ,Army,Father,4,Own choice,Reputation,Yes,4,In university halls,10,3,Yes,2,Yes,No,Nothing ,No,Financial problems,Homesickness,3,Sometimes,Yes,3,Sometimes,Yes,3,3,3,Yes,No,1,4,3,Sometimes,No,4,3.46,2
F,DIU,22,U,LE3,A,4,4,Housewife,Businessesman,Father,4,Own choice,Reputation,Yes,3,With family,20,2,Yes,3,Yes,No,,No,,Difficulty understanding academic content,3,Often,Yes,3,Sometimes,Yes,3,3,3,Yes,No,,4,4,Never,Yes,1,3,3
F,DIU,23,U,LE3,A,4,4,Housewife,Retired,Father,3,Own choice,Reputation,Yes,4,With family,120,2,No,0,Yes,No,,No,,Difficulty understanding academic content,3,Sometimes,Yes,2,Often,Yes,3,3,4,Yes,Yes,4,4,3,Rarely,No,1,3.5,3
F,AUST ,22,U,GT3,A,4,4,Housewife ,Businessman ,Father,4,Own choice,Reputation,Yes,4,With family,90,2,No,,Yes,No,,No,,No major issues,2,Sometimes,Yes,3,Sometimes,Yes,2,5,5,Yes,No,,4,4,Never,No,5,3.12,3
M,DIU,24,U,GT3,A,3,3,Housewife ,Govt job,Father,4,Own choice,Reputation,Yes,3,Private accommodation,120,2,Yes,1,No,No,,Yes,Difficulty adjusting to university life,Homesickness,3,Often,Yes,3,Sometimes,No,3,4,4,Yes,No,,4,3,Often,No,3,2.8,2
M,DIU,23,U,LE3,A,3,3,Housewife ,Businessman,Mother,3,Own choice,Near Home,Yes,3,With family,10,4,No,,Yes,No,,No,,No major issues,2,Rarely,Yes,3,Sometimes,No,2,5,1,Yes,No,,3,5,Rarely,Yes,20,3.8,4
M,DIU,25,R,GT3,A,4,4,Govt job ,Businessman,Father,3,Own choice,Near Home,No,3,With family,50,2,No,,No,No,,No,,Difficulty understanding academic content,3,Sometimes,Yes,3,Never,Yes,3,3,3,Yes,Yes,5,4,4,Never,No,10,3.05,2
F,DIU,22,R,GT3,A,2,2,Housewife ,Service holder ,Father,5,Own choice,Near Home,Yes,5,With family,150,2,Yes,3,Yes,No,Lack of interest in the original major,No,Personal reasons,Difficulty understanding academic content,5,Never,Yes,5,Sometimes,Yes,1,5,5,Yes,No,1,5,1,Never,No,5,3.11,1
M,DIU,21,U,GT3,A,4,4,Housewife ,Manager,Father,1,Own choice,Waiver and transport ,No,3,With family,60,1,No,,Yes,No,,Yes,Lack of interest in the program,No major issues,3,Often,Yes,1,Never,No,1,1,3,Yes,No,,5,3,Rarely,Yes,7,3.96,5
M,DIU,25,R,LE3,A,4,4,Teacher,Teacher,Father,3,Own choice,Reputation,Yes,3,In university halls,120,1,No,0,Yes,No,No changed,No,Did not considered ,Difficulty understanding academic content,3,Sometimes,Yes,3,Rarely,No,3,3,4,Yes,No,,5,3,Never,No,5,3.12,3
M,DIU,21,U,GT3,A,4,4,Teacher,Dead ,Mother,4,Referred by someone,Course,Yes,4,Private accommodation,10,2,No,,No,No,,No,,No major issues,4,Always,Yes,4,Sometimes,No,2,3,4,Yes,Yes,5,4,2,Rarely,No,1,3.51,3
F,DIU,22,R,LE3,A,3,3,Housewife,Businessman ,Father,1,Own choice,Near Home,Yes,1,With family,40,1,No,0,Yes,No,,No,Never,Homesickness,5,Never,No,1,Never,No,1,1,1,Yes,No,1,1,1,Sometimes,No,4,3,1
M,DIU,22,R,GT3,A,3,3,Housewife ,Govt job,Father,3,Own choice,Reputation,Yes,4,With family,30,1,No,0,Yes,No,,No,,No major issues,3,Sometimes,Yes,4,Never,No,3,3,4,Yes,No,,5,4,Never,No,4,3. 44,3
M,DIU,22,U,GT3,A,4,4,Housewife,Govt job,Father,4,Own choice,Reputation,Yes,4,Private accommodation,120,2,No,,No,Yes,Better career opportunities in the new major,No,,Homesickness,4,Often,Yes,2,Rarely,Yes,1,2,3,Yes,Yes,4,5,4,Never,Yes,3,3.42,3
M,DIU,25,U,GT3,A,2,3,Housewife ,Businessman,Father,2,Referred by someone,Waiver ,Yes,2,With family,120,1,No,0,Yes,No,Better career opportunities in the new major,No,Family responsibilities,Difficulty understanding academic content,3,Sometimes,Yes,3,Sometimes,No,3,3,3,Yes,No,1,3,3,Never,No,15,,3
M,BUFT,21,U,GT3,A,3,4,Housewife ,Army,Father,4,Referred by someone,Course,Yes,3,With family,120,1,No,0,No,No,No comment ,No,Personal reasons,No major issues,2,Sometimes,No,1,Sometimes,Yes,1,3,3,Yes,No,1,5,4,Rarely,No,2,3.5,2
M,BUFT,26,U,LE3,A,1,1,Housewife,Service holder ,Father,4,Own choice,Reputation,Yes,4,In university halls,20,2,Yes,,Yes,Yes,Personal or family reasons,Yes,Health issues,No major issues,4,Always,Yes,5,Often,No,5,5,3,Yes,No,5,4,4,Often,Yes,0,3,3
M,BUFT,22,U,LE3,A,0,1,Housewife ,Contractor,Father,3,Brother ,Course & Reputation ,Yes,3,With family,20,3,No,,Yes,No,,No,,Homesickness,4,Sometimes,Yes,2,Sometimes,Yes,1,3,4,Yes,No,,5,3,Never,No,4,3.77,3
M,BUFT,22,U,GT3,A,4,4,Housewife,Corporate job,Father,3,Referred by someone,Course,Yes,3,With family,150,2,No,,No,No,,No,,No major issues,3,Never,Yes,3,Sometimes,Yes,2,3,3,Yes,No,,3,4,Rarely,No,1,3.5,3
M,SMUCT,28,U,GT3,A,4,4,Housewife,Engineer,Father,5,Referred by someone,Reputation,Yes,5,With family,60,2,No,0,No,No,Personal or family reasons,No,Health issues,Difficulty making friends,3,Sometimes,Yes,3,Sometimes,Yes,3,3,3,Yes,No,1,4,3,Sometimes,Yes,0,3.5,3
M,BUFT,20,R,GT3,T,4,4,Teacher ,Service holder ,Father,5,Own choice,Reputation,Yes,5,Private accommodation,150,3,No,0,No,No,Personal or family reasons,No,No,Homesickness,2,Sometimes,Yes,3,Very Often,Yes,2,4,4,Yes,No,1,5,4,Never,No,3,3.2,3
M,BUFT,24,U,GT3,A,3,2,Housewife,Businessman,Father,2,Own choice,Reputation,Yes,2,Private accommodation,20,3,No,1,No,No,Personal or family reasons,No,Personal reasons,No major issues,2,Never,Yes,5,Never,No,2,2,4,Yes,No,1,5,4,Never,No,10,2.75,2
M,BUFT,23,U,GT3,T,3,2,Housewife,Teacher,Father,3,Own choice,Reputation,No,2,In university halls,10,4,No,0,Yes,No,Better career opportunities in the new major,No,Health issues,Difficulty understanding academic content,2,Often,No,1,Rarely,No,2,5,5,Yes,No,4,4,3,Sometimes,No,2,3.34,5
M,BUFT,24,U,GT3,A,2,3,Housewife,Govt job,Father,3,Own choice,Course,Yes,3,With family,60,3,No,,No,No,,No,,Homesickness,1,Sometimes,Yes,4,Rarely,No,1,2,3,Yes,No,,5,3,Never,No,3,3,2
M,BUFT,18,U,GT3,A,4,4,Housewife,Govt job,Father,5,Own choice,Course,Yes,5,Private accommodation,120,4,No,,No,Yes,,No,,Difficulty making friends,3,Sometimes,Yes,3,Sometimes,No,3,5,5,Yes,No,,5,5,Never,No,0,3.5,5
F,BUFT,21,U,LE3,T,4,4,Teacher ,Teacher ,Mother,3,Own choice,Course,Yes,2,Private accommodation,30,3,Yes,1,No,No,,Yes,Difficulty adjusting to university life,Difficulty making friends,4,Often,Yes,3,Never,No,2,3,3,Yes,No,,4,3,Rarely,No,1,,4
M,BUFT,21,U,GT3,A,3,4,Housewife,Businessman,Father,3,Referred by someone,Course,Yes,1,With family,120,2,No,,No,No,,No,,No major issues,5,Always,Yes,2,Rarely,No,2,1,1,Yes,No,,1,1,Sometimes,No,15,2.89,2
M,BUFT,23,U,GT3,A,3,3,Housewife ,Service holder ,Father,5,Referred by someone,Reputation,Yes,3,Private accommodation,60,1,No,,No,No,,No,,Difficulty understanding academic content,3,Sometimes,Yes,2,Very Often,Yes,2,3,3,Yes,Yes,3,5,3,Never,No,6,3.3,1
